Student,Root Account,Section,Week 1 Homework Assignment (114328),Week 2 Homework (114329),Week 3 Homework Assignment (114330),Week 4 Homework (114331),Week 5 Homework (114332),Week 6 Homework (114333),Week 7 Homework (114334),Linear Regression Model (135459),Week 8 Homework (114335),Week 9 Homework (114336),Week 10 Homework (114337),Week 11 Homework (114338),Class_Survey (114359),Datacamp Version Control (135716),Show Rcommander in operation (120756),Boxplots using KMggplot2 plugin (114358),Loading and summarizing data (114361),DataCamp projects (135713),Make a linear regression model (114362),Combined Survey Results (134012),Comparing multiple regression models (114360),DataCamp Anova (135706),Datacamp Rstudio Orientation (135714),Dealing with Git (114596),Datacamp Students T-test (135715),Dealing with Git Branching (114597),DataCamp Intro to Git (135711),From Git to Github (114598),DataCamp Correlation and Regression (135707),Collaboration with github (114595),DataCamp Exploratory Data Analysis (135709),DataCamp Intro to Tidyverse (135712),DataCamp Orientation (117947),DataCamp_Rstudio orientation (129381),KMggplot2 (131432),Datacamp Projects (133950),Datacamp Intro to Data (133951),DataCamp version Control (133956),Introduction to R (136319),Intermediate R (140159),Datacamp Writing Functions in R (140326),DataCamp Data Manipulation with Dplyr (135708),Class Survey - Fastest up-down - Guys or Gsals (140355),Drinking at davis (140381),GSS (141549),final2018 (144404),Datacamp Courses Current Points,Datacamp Courses Final Points,Datacamp Courses Current Score,Datacamp Courses Unposted Current Score,Datacamp Courses Final Score,Datacamp Courses Unposted Final Score,Default Current Points,Default Final Points,Default Current Score,Default Unposted Current Score,Default Final Score,Default Unposted Final Score,Imported Assignments Current Points,Imported Assignments Final Points,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Stats Reports Current Points,Stats Reports Final Points,Stats Reports Current Score,Stats Reports Unposted Current Score,Stats Reports Final Score,Stats Reports Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
    Points Possible,,,21,97,44,36,30,21,18,100,41,30,21,8,25,25,25,25,25,25,100,25,100,100,25,50,100,50,100,50,100,75,100,100,25,25,25,25,100,25,100,100,100,100,100,100,100,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
studentA,avc.instructure.com,Section 02,21,,32.42,35.9,,21,18,,40,29,21,8,25,25,,,,25,,,,100,25,,100,,25,,100,,100,100,25,25,,25,97,25,61,,,100,,,,,358,358,89.5,89.5,57.28,57.28,226.32,226.32,94.3,94.3,48.46,48.46,625,625,89.29,89.29,51.02,51.02,0,0,,,0,0,1209.32,1209.32,90.25,90.25,44.51,44.51
studentB,avc.instructure.com,Section 02,20.8,90.39,10.42,10,15.8,10.7,11.9,,9.6,18,17,0.8,24,,25,,,,,15,,,25,35,,50,,50,,75,,,25,,25,25,65,25,73,,,,,65,88,50,238,238,79.33,79.33,38.08,38.08,215.41,215.41,58.69,58.69,46.13,46.13,299,299,92,92,24.41,24.41,203,203,67.67,67.67,50.75,50.75,955.41,955.41,73.95,73.95,35.16,35.16
studentC,avc.instructure.com,Section 02,,91.49,1.16,9.9,,,,,,,,,25,25,,,,25,,25,,100,25,,100,,7,,100,,97,100,25,25,,25,98,25,100,100,99,94,,80,60,50,591,591,98.5,98.5,94.56,94.56,102.55,102.55,57.94,57.94,21.96,21.96,629,629,86.76,86.76,51.35,51.35,190,190,63.33,63.33,47.5,47.5,1512.55,1512.55,83.94,83.94,55.67,55.67
studentD,avc.instructure.com,Section 02,20.9,94.8,38.21,10,30,21,,90,,29,21,,25,25,25,,,,,25,70,100,25,50,100,50,80,25,100,,100,98,24,25,25,25,94,25,98,99,99,98,,,75,85,612,612,97.92,97.92,97.92,97.92,354.91,354.91,88.73,88.73,76,76,898,898,92.1,92.1,73.31,73.31,160,160,80,80,40,40,2024.91,2024.91,92.04,92.04,74.53,74.53
studentE,avc.instructure.com,Section 02,20.9,97,40.29,36,30,21,18,90,41,29,21,8,25,25,25,,,25,,25,95,100,25,48,100,50,96,50,100,75,100,100,25,,25,25,100,25,99,100,99,100,95,85,95,97,598,598,99.67,99.67,95.68,95.68,452.19,452.19,96.83,96.83,96.83,96.83,1064,1064,98.98,98.98,86.86,86.86,372,372,93,93,93,93,2486.19,2486.19,97.8,97.8,91.51,91.51
studentF,avc.instructure.com,Section 02,,95.9,38.21,28,20.8,17,18,100,28.8,29,21,7,25,25,25,,,25,,25,70,100,25,48,100,50,85,50,100,75,100,,25,25,25,25,100,25,95,100,99,100,90,80,95,96,619,619,99.04,99.04,99.04,99.04,403.71,403.71,90.52,90.52,86.45,86.45,928,928,95.18,95.18,75.76,75.76,361,361,90.25,90.25,90.25,90.25,2311.71,2311.71,94.51,94.51,85.08,85.08
studentG,avc.instructure.com,Section 02,20.9,97,35.78,15.9,24.9,,11.9,,,18,20,5.8,23,,25,,,,,25,,,,48,,16,,50,,,,,25,25,,25,11,25,1,,18,24,,,,,154,154,30.8,30.8,24.64,24.64,250.18,250.18,82.03,82.03,53.57,53.57,187,187,83.11,83.11,15.27,15.27,0,0,,,0,0,591.18,591.18,57.4,57.4,21.76,21.76
studentH,avc.instructure.com,Section 02,19.7,89.28,19.68,11,14.8,3,13,,18.5,22.8,21,8,25,25,25,,,25,,25,,100,25,15,100,0,53,20,100,75,100,100,25,25,20,25,50,25,100,100,99,85,50,65,85,70,554,554,88.64,88.64,88.64,88.64,240.77,240.77,65.6,65.6,51.56,51.56,813,813,83.38,83.38,66.37,66.37,270,270,67.5,67.5,67.5,67.5,1877.77,1877.77,79.33,79.33,69.11,69.11
studentI,avc.instructure.com,Section 02,19,89.17,37.98,36,30,21,18,90,41,29,21,8,22,25,25,,,25,,25,70,100,25,40,99,42,81,50,99,75,97,99,25,25,25,25,93,25,100,100,100,100,80,75,65,85,618,618,98.88,98.88,98.88,98.88,440.15,440.15,94.25,94.25,94.25,94.25,999,999,92.93,92.93,81.55,81.55,305,305,76.25,76.25,76.25,76.25,2362.15,2362.15,92.02,92.02,86.94,86.94
studentJ,avc.instructure.com,Section 02,21,2,12.74,15,,,,,,,,,,,25,,,25,,25,,,,,,,,,,,,,25,,,25,,,,,,,,,,,50,50,100,100,8,8,50.74,50.74,25.62,25.62,10.86,10.86,75,75,100,100,6.12,6.12,0,0,,,0,0,175.74,175.74,54.41,54.41,6.47,6.47
studentK,avc.instructure.com,Section 02,21,89.28,31.03,24.9,27,18,17.9,,40,29,21,8,23,25,25,,,25,,25,,100,25,15,100,34,65,40,100,75,100,100,25,25,25,25,84,25,100,100,100,100,25,,,50,609,609,97.44,97.44,97.44,97.44,327.12,327.12,89.13,89.13,70.05,70.05,877,877,89.95,89.95,71.59,71.59,75,75,37.5,37.5,18.75,18.75,1888.12,1888.12,87.13,87.13,69.49,69.49
studentL,avc.instructure.com,Section 02,21,95.68,39.37,19.9,25.8,9,13.9,,28.6,27.8,21,7,25,25,25,,,25,,25,95,100,25,48,100,50,97,50,100,75,100,100,25,,25,25,88,,100,100,99,100,100,95,90,85,562,562,97.74,97.74,89.92,89.92,309.05,309.05,84.21,84.21,66.18,66.18,1065,1065,99.07,99.07,86.94,86.94,370,370,92.5,92.5,92.5,92.5,2306.05,2306.05,95.41,95.41,84.87,84.87
studentM,avc.instructure.com,Section 02,19,91.05,,,19.9,,13.9,,0,13,,,25,,25,,,,,25,,,,,,,,,,,,,25,,,,,,,,,,,,,,25,25,100,100,4,4,156.85,156.85,66.18,66.18,33.59,33.59,75,75,100,100,6.12,6.12,0,0,,,0,0,256.85,256.85,76.22,76.22,9.45,9.45
studentN,avc.instructure.com,Section 02,20.9,86.97,23.16,28.9,25,4,12,,,4,20.8,3,25,25,25,,,25,,20,,4,25,47,,50,84,50,,75,,,25,,25,25,20,25,92,22,,7,,80,80,40,241,241,48.2,48.2,38.56,38.56,228.73,228.73,70.16,70.16,48.98,48.98,455,455,79.13,79.13,37.14,37.14,200,200,66.67,66.67,50,50,1124.73,1124.73,66.12,66.12,41.4,41.4
studentO,avc.instructure.com,Section 02,,96.78,42.73,34.9,30,17,18,100,41,29,21,8,25,25,25,,,25,,25,95,100,25,49,95,50,93,50,100,75,100,93,25,,25,25,98,25,100,100,99,100,95,95,85,85,597,597,99.5,99.5,95.52,95.52,438.41,438.41,98.3,98.3,93.88,93.88,1050,1050,97.67,97.67,85.71,85.71,360,360,90,90,90,90,2445.41,2445.41,97,97,90,90
studentP,avc.instructure.com,Section 02,19,96.56,39.37,31.9,26,6.8,14,50,13.6,23.8,17,7,25,25,25,,,25,,25,85,100,25,49,100,50,90,50,100,75,100,100,25,25,,25,97,25,100,100,99,100,95,60,85,92,596,596,99.33,99.33,95.36,95.36,345.03,345.03,73.88,73.88,73.88,73.88,1049,1049,97.58,97.58,85.63,85.63,332,332,83,83,83,83,2322.03,2322.03,91.35,91.35,85.46,85.46
studentQ,avc.instructure.com,Section 02,20,97,42.84,34.9,,,18,,,,21,7.8,25,,25,,,,,25,,,,20,,50,,50,,,,,25,25,25,25,,25,,,,,,,,,125,125,100,100,20,20,241.54,241.54,98.59,98.59,51.72,51.72,195,195,86.67,86.67,15.92,15.92,0,0,,,0,0,561.54,561.54,94.38,94.38,20.67,20.67
studentR,avc.instructure.com,Section 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0
studentS,avc.instructure.com,Section 02,20,91.49,37.05,36,30,21,18,95,41,29,21,8,25,25,25,,,25,,25,80,100,25,35,100,50,90,50,100,75,100,100,25,25,25,25,92,25,100,100,99,100,30,80,80,85,616,616,98.56,98.56,98.56,98.56,447.54,447.54,95.83,95.83,95.83,95.83,1030,1030,95.81,95.81,84.08,84.08,275,275,68.75,68.75,68.75,68.75,2368.54,2368.54,92.27,92.27,87.17,87.17
Test Student,avc.instructure.com,Section 02,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,25,,,,,,,,,,,,25,25,100,100,4,4,0,0,,,0,0,49,49,98,98,4,4,0,0,,,0,0,74,74,98.67,98.67,2.72,2.72
